"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-29","0.00","0.0","0.0",,"103","76"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-30","0.00","0.0","0.0",,"106","66"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-01","0.00","0.0","0.0",,"107","79"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-02","0.00","0.0","0.0",,"104","80"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-03","0.00","0.0","0.0",,"103","74"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-04","0.00","0.0","0.0",,"103","71"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-05","0.00","0.0","0.0",,"103","71"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-06","0.00","0.0","0.0",,"103","70"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-07","0.00","0.0","0.0",,"104","74"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-08","0.00","0.0","0.0",,"105","73"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-09","0.00","0.0","0.0",,"102","78"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-10","0.00","0.0","0.0",,"99","66"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-11","0.00","0.0","0.0",,"101","72"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-12","0.00","0.0","0.0",,"102","73"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-13","0.00","0.0","0.0",,"107","72"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-07-14","0.00","0.0","0.0",,"109","69"
